Date,Name,Year,Letterboxd URI
2020-05-10,True Romance,1993,https://boxd.it/2aBa
2020-06-05,Les Misérables,2012,https://boxd.it/2TT4
2020-06-09,Empire of the Sun,1987,https://boxd.it/1X4i
2020-06-09,Persona,1966,https://boxd.it/29B4
2020-06-09,10 Things I Hate About You,1999,https://boxd.it/23AO
2020-06-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2020-06-14,What We Do in the Shadows,2014,https://boxd.it/7eQy
2020-06-14,Frances Ha,2012,https://boxd.it/41Xg
2020-06-14,Before Sunset,2004,https://boxd.it/2bcg
2020-06-15,Mamma Mia!,2008,https://boxd.it/1Tnq
2020-06-19,Hiroshima Mon Amour,1959,https://boxd.it/22WY
2020-08-10,Normal People,2020,https://boxd.it/q2VY
2020-08-18,Stardust,2007,https://boxd.it/272w
2020-08-28,Autumn Sonata,1978,https://boxd.it/1Rio
2020-11-21,Sunset Boulevard,1950,https://boxd.it/2a20
2020-12-11,Come and See,1985,https://boxd.it/1w9q
2020-12-30,Minari,2020,https://boxd.it/mL9M
2021-02-18,Before Sunrise,1995,https://boxd.it/2bcU
2021-02-22,Fullmetal Alchemist,2003,https://boxd.it/py5S
2021-02-27,Chungking Express,1994,https://boxd.it/1UDa
2021-03-06,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg
2021-03-06,Sound of Metal,2019,https://boxd.it/i7Q4
2021-03-14,Into the Wild,2007,https://boxd.it/22m2
2021-03-16,Beginners,2010,https://boxd.it/s2S
2021-03-24,Seven Samurai,1954,https://boxd.it/2axi
2021-03-25,Harold and Maude,1971,https://boxd.it/2axM
2021-07-02,Beautiful Boy,2018,https://boxd.it/g76Q
2021-07-02,Mommy,2014,https://boxd.it/7Uau
2021-09-05,Metropolis,1927,https://boxd.it/71a
2021-09-19,Lady Bird,2017,https://boxd.it/dGNE
2021-09-23,The Virgin Suicides,1999,https://boxd.it/28JG
2021-09-27,Train to Busan,2016,https://boxd.it/dSQU
2021-09-28,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE
2021-09-29,Heathers,1989,https://boxd.it/26x4
2021-10-05,Cinema Paradiso,1988,https://boxd.it/1UlA
2022-01-08,The Big Lebowski,1998,https://boxd.it/2b6C
2022-04-23,The Worst Person in the World,2021,https://boxd.it/oyws
2022-06-18,Hello Kitty - Stump Village (Vol. 3),2007,https://boxd.it/4Kay
2022-07-06,Chibi Maruko-chan: My Favorite Song,1992,https://boxd.it/e9Hq
2022-07-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-07-22,Drive My Car,2021,https://boxd.it/sv94
2022-08-14,Nana,2006,https://boxd.it/qBBE
2022-12-10,Aftersun,2022,https://boxd.it/Arw0
2023-02-27,Stuck in Love,2012,https://boxd.it/3L08
2023-03-26,We Made a Beautiful Bouquet,2021,https://boxd.it/pZDC
2023-03-30,"I Travel Because I Have to, I Come Back Because I Love You",2009,https://boxd.it/369y
2023-03-30,Emicida: AmarElo - It's All for Yesterday,2020,https://boxd.it/sLK6
2023-03-30,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s
2023-03-30,Beastly,2011,https://boxd.it/16Js
2023-03-30,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2023-03-31,David Lynch: The Art Life,2016,https://boxd.it/eASq
2023-04-03,01011001;ultra;sound,2023,https://boxd.it/Fkzc
2023-04-04,Love Alarm Clap! Clap! Clap!,2022,https://boxd.it/ELdq
2023-04-14,On the Beach at Night Alone,2017,https://boxd.it/fqEK
2023-04-14,Terrifier 2,2022,https://boxd.it/oI10
2023-05-01,When Harry Met Sally...,1989,https://boxd.it/29W2
2023-05-01,"tick, tick...BOOM!",2021,https://boxd.it/jz2e
2023-05-01,Rise of the Guardians,2012,https://boxd.it/2PXw
2023-05-01,Blue Valentine,2010,https://boxd.it/MxG
2023-05-05,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk
2023-05-11,Taylor Swift City of Lover Concert,2020,https://boxd.it/qe1o
2023-06-04,The Little Mermaid,1989,https://boxd.it/1WYO
2023-06-18,"Paris, Texas",1984,https://boxd.it/29Ts
2023-06-22,Batman & Robin,1997,https://boxd.it/2ar0
2023-06-23,Muito Prazer,1979,https://boxd.it/9V2U
2023-06-25,"Basic Sanitation, the Movie",2007,https://boxd.it/1oC
2023-06-26,The Serpent's Egg,1977,https://boxd.it/KDs
2023-06-27,La Haine,1995,https://boxd.it/2as8
2023-06-30,The Elephant Man,1980,https://boxd.it/27LQ
2023-07-01,Donnie Darko,2001,https://boxd.it/2b2A
2023-07-03,The Passion of Joan of Arc,1928,https://boxd.it/29DO
2023-07-11,The Iron Giant,1999,https://boxd.it/1Wow
2023-07-11,The Master,2012,https://boxd.it/2cBG
2023-07-17,Nope,2022,https://boxd.it/sDCe
2023-07-18,The Edge of Seventeen,2016,https://boxd.it/d5nu
2023-07-21,Barbie,2023,https://boxd.it/bCLK
2023-07-25,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO
2023-07-25,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0
